word,sentiment,lexicon,score
circumvent,negative,loughran,NA
circumvented,negative,loughran,NA
circumventing,negative,loughran,NA
circumvention,negative,loughran,NA
circumventions,negative,loughran,NA
circumvents,negative,loughran,NA
claiming,negative,loughran,NA
claims,negative,loughran,NA
clawback,negative,loughran,NA
closed,negative,loughran,NA
closeout,negative,loughran,NA
closeouts,negative,loughran,NA
closing,negative,loughran,NA
closings,negative,loughran,NA
closure,negative,loughran,NA
closures,negative,loughran,NA
coerce,negative,loughran,NA
coerced,negative,loughran,NA
coerces,negative,loughran,NA
coercing,negative,loughran,NA
coercion,negative,loughran,NA
coercive,negative,loughran,NA
collapse,negative,loughran,NA
collapsed,negative,loughran,NA
collapses,negative,loughran,NA
collapsing,negative,loughran,NA
collision,negative,loughran,NA
collisions,negative,loughran,NA
collude,negative,loughran,NA
colluded,negative,loughran,NA
colludes,negative,loughran,NA
colluding,negative,loughran,NA
collusion,negative,loughran,NA
collusions,negative,loughran,NA
collusive,negative,loughran,NA
complain,negative,loughran,NA
complained,negative,loughran,NA
complaining,negative,loughran,NA
complains,negative,loughran,NA
complaint,negative,loughran,NA
complaints,negative,loughran,NA
complicate,negative,loughran,NA
complicated,negative,loughran,NA
complicates,negative,loughran,NA
complicating,negative,loughran,NA
complication,negative,loughran,NA
complications,negative,loughran,NA
compulsion,negative,loughran,NA
concealed,negative,loughran,NA
concealing,negative,loughran,NA
concede,negative,loughran,NA
conceded,negative,loughran,NA
concedes,negative,loughran,NA
conceding,negative,loughran,NA
concern,negative,loughran,NA
concerned,negative,loughran,NA
concerns,negative,loughran,NA
conciliating,negative,loughran,NA
conciliation,negative,loughran,NA
conciliations,negative,loughran,NA
condemn,negative,loughran,NA
condemnation,negative,loughran,NA
condemnations,negative,loughran,NA
condemned,negative,loughran,NA
condemning,negative,loughran,NA
condemns,negative,loughran,NA
condone,negative,loughran,NA
condoned,negative,loughran,NA
confess,negative,loughran,NA
confessed,negative,loughran,NA
confesses,negative,loughran,NA
confessing,negative,loughran,NA
confession,negative,loughran,NA
confine,negative,loughran,NA
confined,negative,loughran,NA
confinement,negative,loughran,NA
confinements,negative,loughran,NA
confines,negative,loughran,NA
confining,negative,loughran,NA
confiscate,negative,loughran,NA
confiscated,negative,loughran,NA
confiscates,negative,loughran,NA
confiscating,negative,loughran,NA
confiscation,negative,loughran,NA
confiscations,negative,loughran,NA
conflict,negative,loughran,NA
conflicted,negative,loughran,NA
conflicting,negative,loughran,NA
conflicts,negative,loughran,NA
confront,negative,loughran,NA
confrontation,negative,loughran,NA
confrontational,negative,loughran,NA
confrontations,negative,loughran,NA
confronted,negative,loughran,NA
confronting,negative,loughran,NA
confronts,negative,loughran,NA
confuse,negative,loughran,NA
confused,negative,loughran,NA
confuses,negative,loughran,NA
confusing,negative,loughran,NA
confusingly,negative,loughran,NA
confusion,negative,loughran,NA
conspiracies,negative,loughran,NA
conspiracy,negative,loughran,NA
conspirator,negative,loughran,NA
conspiratorial,negative,loughran,NA
conspirators,negative,loughran,NA
conspire,negative,loughran,NA
conspired,negative,loughran,NA
conspires,negative,loughran,NA
conspiring,negative,loughran,NA
contempt,negative,loughran,NA
contend,negative,loughran,NA
contended,negative,loughran,NA
contending,negative,loughran,NA
contends,negative,loughran,NA
contention,negative,loughran,NA
contentions,negative,loughran,NA
contentious,negative,loughran,NA
contentiously,negative,loughran,NA
contested,negative,loughran,NA
contesting,negative,loughran,NA
contraction,negative,loughran,NA
contractions,negative,loughran,NA
contradict,negative,loughran,NA
contradicted,negative,loughran,NA
contradicting,negative,loughran,NA
contradiction,negative,loughran,NA
contradictions,negative,loughran,NA
contradictory,negative,loughran,NA
contradicts,negative,loughran,NA
contrary,negative,loughran,NA
controversial,negative,loughran,NA
controversies,negative,loughran,NA
controversy,negative,loughran,NA
convict,negative,loughran,NA
convicted,negative,loughran,NA
convicting,negative,loughran,NA
conviction,negative,loughran,NA
convictions,negative,loughran,NA
corrected,negative,loughran,NA
correcting,negative,loughran,NA
correction,negative,loughran,NA
corrections,negative,loughran,NA
corrects,negative,loughran,NA
corrupt,negative,loughran,NA
corrupted,negative,loughran,NA
corrupting,negative,loughran,NA
corruption,negative,loughran,NA
corruptions,negative,loughran,NA
corruptly,negative,loughran,NA
corruptness,negative,loughran,NA
costly,negative,loughran,NA
counterclaim,negative,loughran,NA
counterclaimed,negative,loughran,NA
counterclaiming,negative,loughran,NA
counterclaims,negative,loughran,NA
counterfeit,negative,loughran,NA
counterfeited,negative,loughran,NA
counterfeiter,negative,loughran,NA
counterfeiters,negative,loughran,NA
counterfeiting,negative,loughran,NA
counterfeits,negative,loughran,NA
countermeasure,negative,loughran,NA
countermeasures,negative,loughran,NA
crime,negative,loughran,NA
crimes,negative,loughran,NA
criminal,negative,loughran,NA
criminally,negative,loughran,NA
criminals,negative,loughran,NA
crises,negative,loughran,NA
crisis,negative,loughran,NA
critical,negative,loughran,NA
critically,negative,loughran,NA
criticism,negative,loughran,NA
criticisms,negative,loughran,NA
criticize,negative,loughran,NA
criticized,negative,loughran,NA
criticizes,negative,loughran,NA
criticizing,negative,loughran,NA
crucial,negative,loughran,NA
crucially,negative,loughran,NA
culpability,negative,loughran,NA
culpable,negative,loughran,NA
culpably,negative,loughran,NA
cumbersome,negative,loughran,NA
curtail,negative,loughran,NA
curtailed,negative,loughran,NA
curtailing,negative,loughran,NA
curtailment,negative,loughran,NA
curtailments,negative,loughran,NA
curtails,negative,loughran,NA
cut,negative,loughran,NA
cutback,negative,loughran,NA
cutbacks,negative,loughran,NA
cyberattack,negative,loughran,NA
cyberattacks,negative,loughran,NA
cyberbullying,negative,loughran,NA
cybercrime,negative,loughran,NA
cybercrimes,negative,loughran,NA
cybercriminal,negative,loughran,NA
cybercriminals,negative,loughran,NA
damage,negative,loughran,NA
damaged,negative,loughran,NA
damages,negative,loughran,NA
damaging,negative,loughran,NA
dampen,negative,loughran,NA
dampened,negative,loughran,NA
danger,negative,loughran,NA
dangerous,negative,loughran,NA
dangerously,negative,loughran,NA
dangers,negative,loughran,NA
deadlock,negative,loughran,NA
deadlocked,negative,loughran,NA
deadlocking,negative,loughran,NA
deadlocks,negative,loughran,NA
deadweight,negative,loughran,NA
deadweights,negative,loughran,NA
debarment,negative,loughran,NA
debarments,negative,loughran,NA
debarred,negative,loughran,NA
deceased,negative,loughran,NA
deceit,negative,loughran,NA
deceitful,negative,loughran,NA
deceitfulness,negative,loughran,NA
deceive,negative,loughran,NA
deceived,negative,loughran,NA
deceives,negative,loughran,NA
deceiving,negative,loughran,NA
deception,negative,loughran,NA
deceptions,negative,loughran,NA
deceptive,negative,loughran,NA
deceptively,negative,loughran,NA
decline,negative,loughran,NA
declined,negative,loughran,NA
declines,negative,loughran,NA
declining,negative,loughran,NA
deface,negative,loughran,NA
defaced,negative,loughran,NA
defacement,negative,loughran,NA
defamation,negative,loughran,NA
defamations,negative,loughran,NA
defamatory,negative,loughran,NA
defame,negative,loughran,NA
defamed,negative,loughran,NA
defames,negative,loughran,NA
defaming,negative,loughran,NA
default,negative,loughran,NA
defaulted,negative,loughran,NA
defaulting,negative,loughran,NA
defaults,negative,loughran,NA
defeat,negative,loughran,NA
defeated,negative,loughran,NA
defeating,negative,loughran,NA
defeats,negative,loughran,NA
defect,negative,loughran,NA
defective,negative,loughran,NA
defects,negative,loughran,NA
defend,negative,loughran,NA
defendant,negative,loughran,NA
defendants,negative,loughran,NA
defended,negative,loughran,NA
defending,negative,loughran,NA
defends,negative,loughran,NA
defensive,negative,loughran,NA
defer,negative,loughran,NA
deficiencies,negative,loughran,NA
deficiency,negative,loughran,NA
deficient,negative,loughran,NA
deficit,negative,loughran,NA
deficits,negative,loughran,NA
defraud,negative,loughran,NA
defrauded,negative,loughran,NA
defrauding,negative,loughran,NA
defrauds,negative,loughran,NA
defunct,negative,loughran,NA
degradation,negative,loughran,NA
degradations,negative,loughran,NA
degrade,negative,loughran,NA
degraded,negative,loughran,NA
degrades,negative,loughran,NA
degrading,negative,loughran,NA
delay,negative,loughran,NA
delayed,negative,loughran,NA
delaying,negative,loughran,NA
delays,negative,loughran,NA
deleterious,negative,loughran,NA
deliberate,negative,loughran,NA
deliberated,negative,loughran,NA
deliberately,negative,loughran,NA
delinquencies,negative,loughran,NA
delinquency,negative,loughran,NA
delinquent,negative,loughran,NA
delinquently,negative,loughran,NA
delinquents,negative,loughran,NA
delist,negative,loughran,NA
delisted,negative,loughran,NA
delisting,negative,loughran,NA
delists,negative,loughran,NA
demise,negative,loughran,NA
demised,negative,loughran,NA
demises,negative,loughran,NA
demising,negative,loughran,NA
demolish,negative,loughran,NA
demolished,negative,loughran,NA
demolishes,negative,loughran,NA
demolishing,negative,loughran,NA
demolition,negative,loughran,NA
demolitions,negative,loughran,NA
demote,negative,loughran,NA
demoted,negative,loughran,NA
demotes,negative,loughran,NA
demoting,negative,loughran,NA
demotion,negative,loughran,NA
demotions,negative,loughran,NA
denial,negative,loughran,NA
denials,negative,loughran,NA
denied,negative,loughran,NA
denies,negative,loughran,NA
denigrate,negative,loughran,NA
denigrated,negative,loughran,NA
denigrates,negative,loughran,NA
denigrating,negative,loughran,NA
denigration,negative,loughran,NA
deny,negative,loughran,NA
denying,negative,loughran,NA
deplete,negative,loughran,NA
depleted,negative,loughran,NA
depletes,negative,loughran,NA
depleting,negative,loughran,NA
depletion,negative,loughran,NA
depletions,negative,loughran,NA
deprecation,negative,loughran,NA
depress,negative,loughran,NA
depressed,negative,loughran,NA
depresses,negative,loughran,NA
depressing,negative,loughran,NA
deprivation,negative,loughran,NA
deprive,negative,loughran,NA
deprived,negative,loughran,NA
deprives,negative,loughran,NA
depriving,negative,loughran,NA
derelict,negative,loughran,NA
dereliction,negative,loughran,NA
